X,Y,OBJECTID,ENDERECO,NUMERO,photo,tx_bairro
-43.1096043803796,-22.9107946707845,82,Jornalista Alberto Francisco Torres,500,sinalização turística _20170504_1039581798576508.jpg,
-43.1108610994499,-22.908830225733,83,Jornalista Alberto Francisco Torres,407,sinalização turística _20170504_104333820624671.jpg,
-43.1119423289197,-22.9075892662696,84,Jornalista Alberto Francisco Torres,329,sinalização turística _20170504_1047311358892499.jpg,
-43.1130238583113,-22.9066359416363,85,Jornalista Alberto Francisco Torres,267,sinalização turística _20170504_1049591035065171.jpg,
-43.1134014711434,-22.9062620553366,86,Jornalista Alberto Francisco Torres,275,sinalização turística _20170504_105050513726805.jpg,
-43.1216040730655,-22.9051983493812,87,Praia João Caetano,137,sinalização turística _20170504_1106351025051887.jpg,
-43.1070964204986,-22.8999042222913,88,General Pereira da Silva,299,sinalização turística _20170504_1156041025051887.jpg,
-43.0972830719753,-22.9035216866676,89,Padre Francisco Lana,26,sinalização turística _20170505_1304161025051887.jpg,
-43.1071657315406,-22.9027899536481,90,Governador Roberto Silveira,349,sinalização turística _20170505_1314411752588645.jpg,
-43.1080142883853,-22.9019577965567,91,Governador Roberto Silveira,187,sinalização turística _20170505_1316441495047861.jpg,
-43.1080142883853,-22.9019577965567,92,Governador Roberto Silveira,187,sinalização turística _20170505_1317451487591168.jpg,
-43.1118421980156,-22.8977389434637,93,Marques de Parana,452,sinalização turística _20170505_132048820624671.jpg,
-43.1123100688623,-22.8962924933882,94,Marques de Parana,1197,sinalização turística _20170505_1321331358892499.jpg,
-43.1136210570813,-22.8927059854068,95,Marques de Parana,1197,sinalização turística _20170505_1323041035065171.jpg,
-43.1141711199501,-22.8900802918358,96,Jansen de Melo,157,sinalização turística _20170505_132424513726805.jpg,
-43.1148071033979,-22.8873476762585,97,Jansen de Melo,381,sinalização turística _20170505_132528-1689666446.jpg,
-43.1153143376702,-22.885257276792,98,Sem Nome,171,sinalização turística _20170505_132738128572104.jpg,
-43.1112820471591,-22.8814892533612,99,Feliciano Sodre,1,sinalização turística _20170505_1328551593169978.jpg,
-43.1030031195719,-22.8808223503097,100,Niteroi-Manilha,1,sinalização turística _20170505_133148-407823937.jpg,
-43.0978443546643,-22.8810353042054,101,Niteroi-Manilha,346,sinalização turística _20170505_133336-1640267546.jpg,
-43.0969689789851,-22.8810456782603,102,Niteroi-Manilha,490,sinalização turística _20170505_133450-88451039.jpg,
-43.0847838558887,-22.8812599122313,103,Niteroi-Manilha,1151,sinalização turística _20170505_1341351752588645.jpg,
-43.0874549374048,-22.8811833712249,104,Niteroi-Manilha,931,sinalização turística _20170505_1344311495047861.jpg,
-43.0906588883453,-22.8810492721156,105,Niteroi-Manilha,1,sinalização turística _20170505_1345551487591168.jpg,
-43.0983479403679,-22.8807861891628,106,Niteroi-Manilha,555,sinalização turística _20170505_1351501025051887.jpg,
-43.1038652297571,-22.8805934564957,107,Niteroi-Manilha,321,sinalização turística _20170505_1354151752588645.jpg,
-43.1058244750848,-22.8805073096716,108,Niteroi-Manilha,187,sinalização turística _20170505_1355581495047861.jpg,
-43.1077679103235,-22.880555848649,109,Niteroi-Manilha,129,sinalização turística _20170505_1357001487591168.jpg,
-43.1083187397458,-22.8806046287967,110,Niteroi-Manilha,51,sinalização turística _20170505_1358521798576508.jpg,
-43.1088849370032,-22.8807336301991,111,Niteroi-Manilha,15,sinalização turística _20170505_135935820624671.jpg,
-43.1092319482459,-22.8783367402182,112,Doutor Benjamin Constant,279,sinalização turística _20170505_1401391358892499.jpg,
